"Cycle";"Block";"Population";"Treatment";"Plates_nbr";"Replicate";"Env";"Pop_type";"Sex_struct";"Day";"Total_assay";"Total_assay_2";"Tot_per_worm";"Fec_today";"Total_fec";"Herm_alive_today";"Herm_dead";"Herm_killed";"Male_alive_today";"Male_dead";"Male_killed";"Herm_alive_yesterday";"Male_alive_yesterday";"Fec_yesterday";"Herm_mortality";"Male_mortality";"Trt_3";"Trt_6";"Rep2"
4;"1";"A00_R2";"H";11;"A";"Ancestral";"Ancestral";"Androdioecious";"4";1458;1458;NA;99;396;4;0;0;0;0;0;5;0;79,2;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 A"
4;"1";"A00_R2";"H";11;"A";"Ancestral";"Ancestral";"Androdioecious";"5";1458;1458;NA;NA;NA;4;0;0;0;0;0;4;0;NA;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 A"
4;"1";"A00_R2";"H";11;"B";"Ancestral";"Ancestral";"Androdioecious";"3";1474;1474;NA;248;992;4;1;0;0;0;0;5;0;198,4;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 B"
4;"1";"A00_R2";"H";11;"B";"Ancestral";"Ancestral";"Androdioecious";"4";1474;1474;NA;120,5;482;4;0;0;0;0;0;4;0;120,5;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 B"
4;"1";"A00_R2";"H";11;"B";"Ancestral";"Ancestral";"Androdioecious";"5";1474;1474;NA;NA;NA;4;0;0;0;0;0;4;0;NA;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 B"
4;"1";"A00_R2";"H";11;"C";"Ancestral";"Ancestral";"Androdioecious";"3";1554;1554;NA;202;1010;5;0;0;0;0;0;5;0;202;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 C"
4;"1";"A00_R2";"H";11;"C";"Ancestral";"Ancestral";"Androdioecious";"4";1554;1554;NA;108,8;544;5;0;0;0;0;0;5;0;108,8;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 C"
4;"1";"A00_R2";"H";11;"C";"Ancestral";"Ancestral";"Androdioecious";"5";1554;1554;NA;NA;NA;5;0;0;0;0;0;5;0;NA;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 C"
4;"1";"A00_R2";"H";11;"D";"Ancestral";"Ancestral";"Androdioecious";"3";1538;1538;NA;212;1060;5;0;0;0;0;0;5;0;212;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 D"
4;"1";"A00_R2";"H";11;"D";"Ancestral";"Ancestral";"Androdioecious";"4";1538;1538;NA;119,5;478;4;0;0;0;0;0;5;0;95,6;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 D"
4;"1";"A00_R2";"H";11;"D";"Ancestral";"Ancestral";"Androdioecious";"5";1538;1538;NA;NA;NA;4;0;0;0;0;0;4;0;NA;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 D"
4;"1";"A00_R2";"H";11;"E";"Ancestral";"Ancestral";"Androdioecious";"3";1357;1357;NA;181,4;907;5;0;0;0;0;0;5;0;181,4;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 E"
4;"1";"A00_R2";"H";11;"E";"Ancestral";"Ancestral";"Androdioecious";"4";1357;1357;NA;90;450;5;0;0;0;0;0;5;0;90;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 E"
4;"1";"A00_R2";"H";11;"E";"Ancestral";"Ancestral";"Androdioecious";"5";1357;1357;NA;NA;NA;5;0;0;0;0;0;5;0;NA;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 E"
4;"1";"A00_R2";"H";11;"F";"Ancestral";"Ancestral";"Androdioecious";"3";1940;1940;NA;236,4;1182;5;0;0;0;0;0;5;0;236,4;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 F"
4;"1";"A00_R2";"H";11;"F";"Ancestral";"Ancestral";"Androdioecious";"4";1940;1940;NA;151,6;758;5;0;0;0;0;0;5;0;151,6;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 F"
4;"1";"A00_R2";"H";11;"F";"Ancestral";"Ancestral";"Androdioecious";"5";1940;1940;NA;NA;NA;5;0;0;0;0;0;5;0;NA;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 F"
4;"1";"A00_R2";"H";11;"G";"Ancestral";"Ancestral";"Androdioecious";"3";818;818;NA;242,666666666667;728;3;1;0;0;0;0;5;0;145,6;40;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 G"
